Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Afeganistão,60,41,19,5,4,1
África do Sul,1379,675,704,327,183,144
Albânia,85,49,36,15,9,6
Alemanha,12817,6690,6127,2469,1360,1109
Andorra,16,11,5,5,3,2
Angola,18382,8292,10090,2877,1354,1523
Antígua e Barbuda,5,3,2,5,3,2
Apátrida,30,19,11,2,1,1
Arábia Saudita,165,84,81,40,21,19
Argélia,339,196,143,72,48,24
Argentina,486,229,257,82,47,35
Arménia,78,32,46,8,3,5
Austrália,372,187,185,72,39,33
Áustria,1119,580,539,249,132,117
Azerbaijão,47,19,28,11,4,7
Bahamas,1,0,1,1,0,1
Bahrein,13,7,6,4,4,0
Bangladesh,5325,4211,1114,1954,1553,401
Barbados,4,1,3,0,0,0
Bélgica,4147,2279,1868,868,487,381
Belize,7,3,4,0,0,0
Benin,12,12,0,3,3,0
Bielorrússia,557,179,378,41,14,27
Bolívia,125,39,86,17,9,8
Bósnia e Herzegovina,58,16,42,10,3,7
Botswana,7,3,4,3,1,2
Brasil,105423,42848,62575,28210,13433,14777
Brunei,1,0,1,1,0,1
Bulgária,6931,3391,3540,540,217,323
Burkina Faso,24,17,7,6,3,3
Burundi,6,4,2,0,0,0
Butão,5,3,2,1,1,0
Cabo Verde,34663,16114,18549,2565,1218,1347
Camarões,172,97,75,47,21,26
Cambodja,17,4,13,8,3,5
Canadá,882,457,425,145,76,69
Cazaquistão,495,204,291,29,13,16
Chade,2,1,1,0,0,0
Chile,236,116,120,46,23,23
China,25357,12622,12735,2335,1141,1194
Chipre,59,28,31,20,10,10
Colômbia,973,364,609,188,79,109
Congo,80,35,45,13,5,8
Congo (República Democrática),240,127,113,27,17,10
Cook (Ilhas),1,0,1,0,0,0
Coreia do Sul,172,70,102,46,17,29
Costa do Marfim,148,96,52,26,14,12
Costa Rica,86,35,51,17,9,8
Croácia,350,178,172,102,53,49
Cuba,975,435,540,114,55,59
Desconhecido,9,6,3,0,0,0
Dinamarca,979,584,395,183,104,79
Djibuti,5,3,2,0,0,0
Dominica,8,4,4,1,1,0
Egipto,355,217,138,85,44,41
El Salvador,46,25,21,4,2,2
Emiratos Árabes Unidos,19,12,7,4,3,1
Equador,330,151,179,92,59,33
Eritreia,206,165,41,44,40,4
Eslováquia,287,85,202,76,25,51
Eslovénia,151,61,90,45,11,34
Espanha,14066,7171,6895,2899,1485,1414
Estados Unidos da América,3254,1634,1620,714,352,362
Estónia,228,61,167,51,20,31
Etiópia,50,22,28,13,6,7
Fidji (Ilhas),4,2,2,1,0,1
Filipinas,852,231,621,114,29,85
Finlândia,1263,656,607,160,79,81
França,19771,10596,9175,5306,2895,2411
Gabão,24,11,13,4,2,2
Gâmbia,156,116,40,17,13,4
Gana,142,100,42,22,20,2
Geórgia,453,226,227,46,22,24
Granada,3,1,2,0,0,0
Grécia,516,249,267,137,61,76
Guatemala,50,18,32,12,6,6
Guiana,9,5,4,1,1,0
Guiné,1345,913,432,215,119,96
Guiné Bissau,16186,8522,7664,1907,1011,896
Guiné Equatorial,58,25,33,7,2,5
Haiti,5,4,1,1,1,0
Holanda,8984,4825,4159,1477,800,677
Honduras,41,11,30,14,6,8
Hong Kong,20,11,9,8,6,2
Hungria,748,266,482,199,81,118
Iémen,16,12,4,2,2,0
Índia,11393,8138,3255,4094,3132,962
Indonésia,280,188,92,109,89,20
Irão,838,453,385,184,101,83
Iraque,352,205,147,47,28,19
Irlanda,1752,1001,751,479,290,189
Islândia,88,45,43,23,13,10
Israel,198,107,91,48,31,17
Itália,18862,11122,7740,6989,4016,2973
Jamaica,13,8,5,1,1,0
Japão,460,183,277,56,24,32
Jordânia,321,184,137,79,46,33
Kosovo,39,18,21,7,3,4
Kuwait,21,15,6,2,1,1
Laos,3,1,2,0,0,0
Lesoto,1,0,1,0,0,0
Letónia,443,135,308,61,20,41
Líbano,440,251,189,114,60,54
Libéria,14,12,2,1,1,0
Líbia,115,64,51,13,9,4
Liechtenstein,8,4,4,0,0,0
Lituânia,748,232,516,142,46,96
Luxemburgo,237,125,112,64,31,33
Macau,2,0,2,2,0,2
Macedónia,55,23,32,11,4,7
Madagáscar,10,1,9,2,1,1
Malásia,67,24,43,18,5,13
Malawi,19,6,13,2,2,0
Maldivas,9,3,6,3,3,0
Mali,52,42,10,4,3,1
Malta,47,26,21,7,5,2
Marrocos,1539,757,782,201,105,96
Marshall (Ilhas),1,0,1,0,0,0
Maurícias (Ilhas),33,19,14,8,4,4
Mauritânia,27,23,4,3,3,0
México,520,208,312,94,34,60
Moçambique,3005,1262,1743,467,193,274
Moldávia,4834,2137,2697,366,158,208
Mongólia,23,3,20,1,1,0
Montenegro,11,5,6,2,2,0
Myanmar (Birmânia),5,3,2,0,0,0
Namíbia,20,5,15,7,3,4
Nepal,11489,7313,4176,4211,2743,1468
Nicarágua,23,6,17,10,4,6
Níger,1,1,0,0,0,0
Nigéria,543,331,212,96,52,44
Noruega,784,429,355,155,93,62
Nova Zelândia,73,37,36,16,6,10
Oman,6,4,2,0,0,0
Palestina,70,36,34,14,6,8
Panamá,75,24,51,19,7,12
Paquistão,4373,2977,1396,1269,861,408
Paraguai,102,18,84,10,10,0
Peru,285,101,184,62,28,34
Polónia,2320,741,1579,626,234,392
Qatar,1,0,1,1,0,1
Quénia,97,40,57,12,8,4
Quirguistão,26,10,16,6,3,3
Reino Unido,26445,14205,12240,5079,2844,2235
Reino Unido (British Subject),10,4,6,0,0,0
República Centro-Africana,9,4,5,2,0,2
República Checa,463,160,303,143,54,89
República Dominicana,147,59,88,21,10,11
Roménia,30908,16875,14033,2118,1367,751
Ruanda,28,9,19,2,1,1
Rússia,4365,1526,2839,495,193,302
Samoa,1,0,1,0,0,0
Santa Lúcia,1,0,1,0,0,0
São Cristóvão e Nevis,41,23,18,5,4,1
São Tomé e Príncipe,9153,4096,5057,1163,534,629
São Vicente e Granadinas,1,0,1,0,0,0
Senegal,1248,817,431,118,78,40
Serra Leoa,76,45,31,15,10,5
Sérvia,201,81,120,34,10,24
Seychelles,10,7,3,0,0,0
Singapura,40,12,28,10,3,7
Síria,848,478,370,121,65,56
Somália,64,42,22,32,23,9
Sri Lanka,83,53,30,13,10,3
Suazilândia,5,1,4,1,1,0
Sudão,60,42,18,21,17,4
Suécia,4274,2371,1903,924,463,461
Suíça,2190,1167,1023,521,266,255
Tailândia,1593,1047,546,282,161,121
Taiwan,41,11,30,18,6,12
Tajiquistão,24,10,14,9,3,6
Tanzânia,35,22,13,12,6,6
Timor Leste,263,150,113,113,55,58
Togo,31,19,12,3,3,0
Trindade e Tobago,10,8,2,4,3,1
Tunísia,286,176,110,71,45,26
Turquemenistão,11,5,6,2,2,0
Turquia,1090,555,535,563,286,277
Ucrânia,29218,13435 ,15783,1547,687,860
Uganda,26,14,12,4,2,2
Uruguai,132,66,66,26,14,12
Uzbequistão,986,558,428,77,42,35
Vanuatu,1,0,1,0,0,0
Venezuela,4740,1914,2826,1693,731,962
Vietname,324,153,171,172,81,91
Zâmbia,8,2,6,1,1,0
Zimbabwe,64,31,33,14,7,7
