Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Afeganistão,38,25,13,5,4,1
África do Sul,839,389,450,227,112,115
Albânia,47,21,26,12,5,7
Alemanha,10030,5142,4888,1587,821,766
Andorra,9,6,3,7,4,3
Angola,16994,7791,9203,1479,737,742
Apátrida,12,6,6,6,2,4
Arábia Saudita,98,53,45,72,38,34
Argélia,315,181,134,44,22,22
Argentina,438,212,226,37,26,11
Arménia,89,40,49,12,7,5
Austrália,298,149,149,44,25,19
Áustria,757,394,363,196,101,95
Azerbaijão,35,17,18,6,4,2
Bahamas,1,1,0,1,1,0
Bahrein,11,10,1,1,1,0
Bangladesh,2799,2309,490,437,282,155
Barbados,5,1,4,0,0,0
Bélgica,2853,1538,1315,594,322,272
Belize,6,3,3,0,0,0
Benin,12,11,1,0,0,0
Bermudas,3,2,1,0,0,0
Bielorrússia,626,214,412,33,13,20
Bolívia,104,26,78,15,6,9
Bósnia e Herzegovina,54,16,38,3,2,1
Botswana,4,1,3,0,0,0
Brasil,81251,30938,50313,7059,2996,4063
Bulgária,7019,3489,3530,857,355,502
Burkina Faso,17,12,5,4,3,1
Burundi,6,4,2,0,0,0
Butão,3,1,2,2,1,1
Cabo Verde,36578,16899,19679,1991,924,1067
Camarões,169,118,51,53,42,11
Cambodja,19,7,12,4,0,4
Canadá,738,395,343,76,39,37
Cazaquistão,528,220,308,35,14,21
Chade,4,2,2,0,0,0
Chile,216,93,123,31,10,21
China,22503,11314,11189,2839,1342,1497
Chipre,29,13,16,17,8,9
Colômbia,886,317,569,103,46,57
Comores,1,1,0,0,0,0
Congo,83,33,50,25,12,13
Congo (República Democrática),225,123,102,24,15,9
Cook (Ilhas),1,1,0,0,0,0
Coreia do Sul,215,91,124,21,11,10
Costa do Marfim,132,94,38,19,8,11
Costa Rica,61,23,38,11,3,8
Croácia,222,93,129,58,22,36
Cuba,965,427,538,89,41,48
Desconhecido,15,9,6,1,0,1
Dinamarca,658,369,289,149,89,60
Djibuti,5,3,2,0,0,0
Dominica,5,1,4,0,0,0
Egipto,279,192,87,44,20,24
El Salvador,38,21,17,4,3,1
Emiratos Árabes Unidos,9,7,2,3,2,1
Equador,342,160,182,93,56,37
Eritreia,130,93,37,167,132,35
Eslováquia,207,61,146,62,25,37
Eslovénia,117,55,62,38,16,22
Espanha,11133,5619,5514,2214,1182,1032
Estados Unidos da América,2705,1400,1305,501,274,227
Estónia,157,35,122,45,12,33
Etiópia,53,28,25,18,15,3
Fidji (Ilhas),4,1,3,1,1,0
Filipinas,750,224,526,81,35,46
Finlândia,998,541,457,216,113,103
França,11293,6005,5288,3475,1833,1642
Gabão,22,12,10,8,2,6
Gâmbia,151,110,41,23,13,10
Gana,141,87,54,20,14,6
Geórgia,617,332,285,27,13,14
Granada,4,2,2,0,0,0
Grécia,327,159,168,107,54,53
Guatemala,43,20,23,3,1,2
Guiana,7,4,3,1,1,0
Guiné,1363,943,420,198,113,85
Guiné Bissau,15653,8354,7299,951,427,524
Guiné Equatorial,55,30,25,2,0,2
Haiti,6,4,2,2,2,0
Holanda,6840,3644,3196,1165,632,533
Honduras,32,11,21,6,1,5
Hong Kong,11,6,5,2,1,1
Hungria,520,178,342,91,39,52
Iémen,18,15,3,5,5,0
Índia,7244,4931,2313,1024,638,386
Indonésia,157,87,70,41,25,16
Irão,652,362,290,135,68,67
Iraque,228,128,100,131,79,52
Irlanda,1031,567,464,233,141,92
Islândia,66,28,38,13,7,6
Israel,135,72,63,30,19,11
Itália,8523,5027,3496,3106,1900,1206
Jamaica,15,9,6,3,3,0
Japão,440,190,250,43,20,23
Jordânia,189,111,78,90,52,38
Kosovo,21,10,11,1,0,1
Kuwait,6,4,2,3,3,0
Laos,6,3,3,1,1,0
