Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
2019 64,11,1,1,0,9,86
Afeganistão,73,55,18,23,20,3
África do Sul,1640,788,852,363,187,176
Albânia,85,50,35,24,17,7
Alemanha,16041,8450,7591,2558,1352,1206
Andorra,15,9,6,1,1,0
Angola,24449,10573,13876,4829,2056,2773
Antígua e Barbuda,12,7,5,7,4,3
Apátrida,30,16,14,1,1,0
Arábia Saudita,175,89,86,18,11,7
Argélia,633,373,260,172,109,63
Argentina,677,324,353,131,70,61
Arménia,83,35,48,12,6,6
Austrália,520,279,241,91,49,42
Áustria,1372,718,654,190,99,91
Azerbaijão,65,29,36,17,14,3
Bahamas,1,0,1,0,0,0
Bahrein,12,5,7,3,2,1
Bangladesh,9916,7651,2265,2154,1582,572
Barbados,5,2,3,1,1,0
Bélgica,5183,2862,2321,787,433,354
Belize,7,3,4,0,0,0
Benin,10,9,1,0,0,0
Bermudas,1,0,1,0,0,0
Bielorrússia,564,182,382,40,13,27
Bolívia,130,44,86,16,9,7
Bósnia e Herzegovina,58,18,40,6,3,3
Botswana,8,4,4,2,1,1
Brasil,183993,81320,102673,42245,20202,22043
Brunei,4,1,3,2,1,1
Bulgária,6745,3295,3450,225,97,128
Burkina Faso,30,22,8,2,1,1
Burundi,11,5,6,5,2,3
Butão,7,3,4,1,1,0
Cabo Verde,36609,17231,19378,4224,1946,2278
Camarões,221,131,90,47,30,17
Cambodja,50,18,32,24,11,13
Canadá,1098,582,516,172,91,81
Cazaquistão,633,292,341,89,51,38
Chade,2,2,0,0,0,0
Chile,339,158,181,80,40,40
China,26074,13053,13021,1378,628,750
Chipre,102,60,42,19,14,5
Colômbia,1466,575,891,306,137,169
Comores,1,0,1,0,0,0
Congo,88,35,53,6,2,4
Congo (Rep. Democrática),253,134,119,14,6,8
Coreia do Sul,228,98,130,54,29,25
Costa do Marfim,191,118,73,26,15,11
Costa Rica,78,37,41,11,8,3
Croácia,399,202,197,68,33,35
Cuba,1199,540,659,114,62,52
Desconhecido,29,15,14,9,4,5
Dinamarca,1333,793,540,251,145,106
Djibuti,5,3,2,0,0,0
Dominica,19,14,5,8,7,1
Egipto,549,324,225,123,67,56
El Salvador,50,28,22,6,2,4
Emiratos Árabes Unidos,36,24,12,12,7,5
Equador,414,203,211,94,48,46
Eritreia,213,161,52,1,0,1
Eslováquia,324,101,223,40,16,24
Eslovénia,209,79,130,52,17,35
Espanha,16981,8705,8276,2837,1476,1361
Estados Unidos da América,4768,2361,2407,1115,567,548
Estónia,290,91,199,50,21,29
Etiópia,58,23,35,11,5,6
Fidji (Ilhas),3,2,1,0,0,0
Filipinas,1072,292,780,118,39,79
Finlândia,1152,544,608,163,80,83
França,24935,13166,11769,4072,2116,1956
Gabão,30,13,17,2,0,2
Gâmbia,239,193,46,71,65,6
Gana,185,134,51,34,26,8
Geórgia,447,227,220,44,19,25
Granada,3,1,2,0,0,0
Grécia,679,341,338,115,53,62
Guatemala,71,33,38,14,10,4
Guiana,11,6,5,2,1,1
Guiné,1402,948,454,161,95,66
Guiné-Bissau,19680,10413,9267,3378,1873,1505
Guiné Equatorial,44,17,27,2,1,1
Haiti,10,9,1,2,2,0
Honduras,48,16,32,5,3,2
Hong Kong,64,32,32,36,19,17
Hungria,946,340,606,156,58,98
Iémen,40,24,16,16,8,8
Índia,24550,19099,5451,7172,5984,1188
Indonésia,509,381,128,134,109,25
Irão,1281,698,583,373,196,177
Iraque,486,257,229,97,45,52
Irlanda,2630,1516,1114,560,313,247
Islândia,119,66,53,22,14,8
Israel,337,185,152,80,45,35
Itália,28159,16401,11758,4479,2497,1982
Jamaica,14,9,5,0,0,0
Japão,441,171,270,46,22,24
Jordânia,459,247,212,72,37,35
Kosovo,35,15,20,4,1,3
Kuwait,43,24,19,11,5,6
Laos,5,1,4,1,0,1
Lesoto,2,0,2,0,0,0
Letónia,518,153,365,76,33,43
Líbano,607,331,276,96,53,43
Libéria,16,13,3,0,0,0
Líbia,163,84,79,16,7,9
Liechtenstein,10,5,5,3,1,2
Lituânia,891,262,629,118,34,84
Luxemburgo,387,214,173,110,66,44
Macau,2,0,2,0,0,0
Macedónia,50,18,32,5,0,5
Madagáscar,14,4,10,4,3,1
Malásia,107,39,68,26,9,17
Malawi,17,4,13,2,0,2
Maldivas,7,2,5,0,0,0
Mali,75,66,9,16,13,3
Malta,85,46,39,28,13,15
Marrocos,1936,1018,918,418,237,181
Marshall (Ilhas),1,1,0,0,0,0
Maurícias (Ilhas),32,16,16,7,5,2
Mauritânia,24,21,3,2,2,0
México,640,241,399,106,37,69
Moçambique,3678,1486,2192,681,290,391
Moldávia,5183,2378,2805,516,284,232
Mongólia,22,5,17,1,0,1
Montenegro,15,7,8,0,0,0
Myanmar (Birmânia),3,3,0,0,0,0
Namíbia,32,11,21,4,2,2
Nepal,21015,13339,7676,3880,2433,1447
Nicarágua,38,17,21,9,7,2
Níger,2,1,1,0,0,0
Nigéria,758,510,248,135,94,41
Noruega,965,552,413,160,97,63
Nova Zelândia,82,37,45,19,12,7
Oman,8,5,3,1,0,1
Países Baixos,10392,5580,4812,1251,669,582
Palestina,86,48,38,12,6,6
Panamá,67,21,46,15,8,7
Paquistão,6381,4523,1858,1343,913,430
Paraguai,134,35,99,15,6,9
Peru,375,130,245,70,26,44
Polónia,3061,993,2068,554,193,361
Qatar,11,7,4,9,6,3
Quénia,106,37,69,20,5,15
Quirguistão,36,15,21,8,3,5
Reino Unido,46238,25611,20627,13154,7780,5374
Reino Unido (British Subject),8,4,4,2,0,2
República Centro-Africana,8,4,4,0,0,0
República Checa,541,185,356,97,32,65
República Dominicana,172,62,110,19,5,14
Roménia,30052,16128,13924,983,554,429
Ruanda,29,10,19,2,1,1
Rússia,5103,1851,3252,573,211,362
Samoa,1,0,1,0,0,0
Santa Lúcia,2,0,2,2,0,2
São Cristóvão e Nevis,46,27,19,0,0,0
São Tomé e Príncipe,10706,4794,5912,1580,750,830
São Vicente e Granadinas,1,1,0,0,0,0
Senegal,1537,1100,437,217,170,47
Serra Leoa,95,58,37,11,7,4
Sérvia,234,95,139,38,19,19
Seychelles,11,7,4,3,2,1
Singapura,77,23,54,23,9,14
Síria,1108,613,495,123,67,56
Somália,63,43,20,1,1,0
Sri Lanka,102,64,38,15,9,6
Suazilândia,7,2,5,2,1,1
Sudão,139,81,58,16,12,4
Sudão do Sul,53,25,28,13,9,4
Suécia,5181,2843,2338,734,414,320
Suíça,2877,1507,1370,497,258,239
Suriname,3,2,1,2,2,0
Tailândia,1723,1074,649,32,4,28
Taiwan,42,14,28,12,5,7
Tajiquistão,32,12,20,3,0,3
Tanzânia,29,19,10,2,1,1
Timor Leste,291,127,164,99,36,63
Togo,37,24,13,2,1,1
Trindade e Tobago,16,12,4,3,3,0
Tunísia,461,261,200,153,76,77
Turquemenistão,13,6,7,3,1,2
Turquia,1518,757,761,307,162,145
Ucrânia,28629,12886,15743,1216,554,662
Uganda,37,18,19,11,4,7
Uruguai,191,96,95,22,15,7
Uzbequistão,1137,663,474,74,44,30
Vanuatu,3,3,0,1,1,0
Venezuela,7741,3134,4607,1412,591,821
Vietname,686,330,356,305,152,153
Zâmbia,21,6,15,7,1,6
Zimbabwe,67,30,37,8,4,4
