Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Afeganistão,50,36,14,14,13,1
África do Sul,1020,480,540,387,199,188
Albânia,59,24,35,10,4,6
Alemanha,11160,5755,5405,1913,1016,897
Andorra,11,8,3,2,2,0
Angola,16854,7604,9250,1831,818,1013
Apátrida,31,19,12,12,7,5
Arábia Saudita,115,63,52,95,48,47
Argélia,326,176,150,48,18,30
Argentina,424,200,224,47,22,25
Arménia,102,39,63,13,5,8
Austrália,332,172,160,67,40,27
Áustria,955,495,460,241,115,126
Azerbaijão,50,21,29,18,8,10
Bahamas,1,0,1,0,0,0
Bahrein,10,8,2,8,6,2
Bangladesh,3450,2742,708,737,479,258
Barbados,4,1,3,0,0,0
Bélgica,3508,1925,1583,813,463,350
Belize,8,4,4,2,1,1
Benin,11,10,1,2,1,1
Bermudas,1,0,1,0,0,0
Bielorrússia,565,188,377,39,8,31
Bolívia,105,30,75,12,5,7
Bósnia e Herzegovina,59,18,41,9,2,7
Botswana,7,4,3,2,2,0
Brasil,85426,32900,52526,11574,5056,6518
Bulgária,7033,3471,3562,802,369,433
Burkina Faso,24,18,6,6,5,1
Burundi,6,4,2,2,1,1
Butão,4,2,2,3,2,1
Cabo Verde,34986,16160,18826,2060,998,1062
Camarões,148,97,51,21,15,6
Cambodja,9,2,7,1,1,0
Canadá,830,440,390,142,82,60
Cazaquistão,516,216,300,36,15,21
Chade,5,4,1,2,2,0
Chile,214,103,111,27,16,11
China,23197,11613,11584,2600,1244,1356
Chipre,43,19,24,15,5,10
Colômbia,922,349,573,130,50,80
Comores,1,0,1,0,0,0
Congo,73,25,48,16,7,9
Congo (República Democrática),234,123,111,25,9,16
Cook (Ilhas),1,0,1,0,0,0
Coreia do Sul,206,99,107,30,20,10
Costa do Marfim,129,86,43,19,7,12
Costa Rica,80,35,45,28,11,17
Croácia,300,146,154,97,62,35
Cuba,929,404,525,74,36,38
Desconhecido,13,9,4,1,1,0
Dinamarca,879,516,363,272,174,98
Djibuti,1,0,1,1,0,1
Dominica,9,5,4,6,4,2
Egipto,315,210,105,71,43,28
El Salvador,44,26,18,8,5,3
Emiratos Árabes Unidos,25,16,9,18,10,8
Equador,371,184,187,145,86,59
Eritreia,156,120,36,71,59,12
Eslováquia,248,82,166,71,26,45
Eslovénia,136,63,73,38,14,24
Espanha,12526,6369,6157,2738,1447,1291
Estados Unidos da América,2888,1465,1423,614,296,318
Estónia,192,45,147,52,14,38
Etiópia,48,22,26,9,5,4
Fidji (Ilhas),7,2,5,1,0,1
Filipinas,763,215,548,75,15,60
Finlândia,1163,610,553,209,89,120
França,15319,8146,7173,4662,2492,2170
Gabão,21,10,11,1,0,1
Gâmbia,149,110,39,20,12,8
Gana,146,100,46,31,22,9
Geórgia,531,279,252,32,14,18
Granada,4,2,2,0,0,0
Grécia,425,214,211,139,69,70
Guatemala,43,16,27,5,2,3
Guiana,9,5,4,3,2,1
Guiné,1275,882,393,158,91,67
Guiné Bissau,15198,8032,7166,1120,542,578
Guiné Equatorial,62,31,31,3,3,0
Haiti,7,5,2,0,0,0
Holanda,7837,4204,3633,1345,743,602
Honduras,36,10,26,8,1,7
Hong Kong,13,4,9,2,2,0
Hungria,597,208,389,143,56,87
Iémen,14,11,3,5,4,1
Índia,7990,5490,2500,1801,1209,592
Indonésia,182,106,76,49,35,14
Irão,699,377,322,146,80,66
Iraque,285,164,121,172,96,76
Irlanda,1337,748,589,380,223,157
Islândia,70,35,35,11,9,2
Israel,178,93,85,52,20,32
Itália,12925,7677,5248,5267,3139,2128
Jamaica,13,7,6,3,1,2
Japão,450,185,265,40,20,20
Jordânia,293,165,128,122,64,58
Kosovo,43,22,21,16,9,7
Kuwait,29,20,9,23,14,9
Laos,11,6,5,0,0,0
Lesoto,2,0,2,0,0,0
Letónia,391,118,273,78,30,48
Líbano,325,182,143,132,68,64
Libéria,12,10,2,0,0,0
Líbia,126,69,57,56,31,25
Liechtenstein,8,4,4,0,0,0
Lituânia,649,200,449,107,33,74
Luxemburgo,193,105,88,40,15,25
Macau,3,1,2,0,0,0
Macedónia,43,16,27,9,4,5
Madagáscar,9,1,8,1,0,1
Malásia,62,24,38,9,4,5
Malawi,19,4,15,3,1,2
Maldivas,6,3,3,3,1,2
Mali,49,40,9,6,5,1
Malta,42,23,19,12,8,4
Marrocos,1511,742,769,143,63,80
Maurícias (Ilhas),19,11,8,4,2,2
Mauritânia,25,21,4,3,3,0
México,516,212,304,84,42,42
Moçambique,2854,1247,1607,329,158,171
Moldávia,5210,2333,2877,256,94,162
Mongólia,27,9,18,3,3,0
Montenegro,12,7,5,4,2,2
Myanmar (Birmânia),10,6,4,2,1,1
Namíbia,18,4,14,8,2,6
Nepal,7437,4718,2719,1746,998,748
Nicarágua,16,3,13,4,1,3
Níger,2,1,1,1,1,0
Nigéria,508,326,182,88,61,27
Noruega,680,367,313,168,85,83
Nova Zelândia,55,30,25,15,8,7
Oman,7,4,3,4,2,2
Palau,1,0,1,0,0,0
Palestina,62,35,27,6,4,2
Panamá,61,20,41,37,16,21
Paquistão,3380,2299,1081,625,411,214
Paraguai,118,35,83,16,3,13
Peru,251,85,166,37,12,25
Polónia,1898,588,1310,498,162,336
Quénia,78,28,50,21,10,11
Quirguistão,31,12,19,5,2,3
Reino Unido,22431,11942,10489,3832,2182,1650
Reino Unido (British Subject),10,4,6,2,2,0
República Centro-Africana,9,5,4,0,0,0
República Checa,385,139,246,122,54,68
República Dominicana,147,54,93,26,17,9
Roménia,30750,16832,13918,2421,1456,965
Ruanda,33,7,26,5,0,5
Rússia,4264,1490,2774,421,156,265
Samoa,1,0,1,0,0,0
Santa Lúcia,1,0,1,0,0,0
São Cristóvão e Nevis,31,16,15,9,5,4
São Tomé e Príncipe,8605,3916,4689,772,366,406
Senegal,1241,805,436,113,62,51
Serra Leoa,64,42,22,12,11,1
Sérvia,205,89,116,41,24,17
Seychelles,7,4,3,4,3,1
Singapura,32,8,24,7,2,5
Síria,716,398,318,371,206,165
Somália,47,28,19,4,4,0
Sri Lanka,72,42,30,9,3,6
Suazilândia,5,0,5,0,0,0
Sudão,28,17,11,8,6,2
Suécia,3564,2027,1537,1033,575,458
Suíça,1841,990,851,385,221,164
Tailândia,1691,1165,526,350,239,111
Taiwan,32,13,19,3,2,1
Tajiquistão,18,9,9,2,1,1
Tanzânia,26,18,8,4,3,1
Timor Leste,207,127,80,49,24,25
Togo,30,18,12,2,1,1
Trindade e Tobago,12,8,4,5,3,2
Tunísia,232,137,95,51,28,23
Turquemenistão,7,3,4,0,0,0
Turquia,743,388,355,194,94,100
Ucrânia,32453,15530,16923,1247,549,698
