Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Afeganistão,41,26,15,7,5,2
África do Sul,635,277,358,109,55,54
Albânia,42,16,26,5,2,3
Alemanha,9035,4625,4410,1024,525,499
Andorra,3,3,0,0,0,0
Angola,18247,8487,9760,1277,640,637
Antígua e Barbuda,1,0,1,0,0,0
Apátrida,9,5,4,0,0,0
Arábia Saudita,20,11,9,3,2,1
Argélia,316,183,133,38,20,18
Argentina,447,217,230,40,15,25
Arménia,74,32,42,8,4,4
Austrália,269,133,136,43,22,21
Áustria,607,311,296,116,55,61
Azerbaijão,46,22,24,12,6,6
Bahrein,4,3,1,0,0,0
Bangladesh,2571,2191,380,657,579,78
Barbados,4,1,3,0,0,0
Bélgica,2388,1288,1100,412,232,180
Belize,6,2,4,0,0,0
Benin,12,11,1,2,2,0
Bermudas,3,2,1,0,0,0
Bielorrússia,632,224,408,31,8,23
Bolívia,109,28,81,10,1,9
Bósnia e Herzegovina,57,18,39,7,2,5
Botswana,7,3,4,0,0,0
Brasil,82590,31700,50890,5716,2380,3336
Bulgária,6722,3409,3313,857,368,489
Burkina Faso,13,9,4,3,1,2
Burundi,6,4,2,1,1,0
Butão,1,0,1,1,0,1
Cabo Verde,38674,18007,20667,2025,913,1112
Camarões,127,78,49,30,18,12
Cambodja,10,3,7,2,1,1
Canadá,738,389,349,64,27,37
Cazaquistão,537,226,311,37,14,23
Chade,4,2,2,1,1,0
Chile,183,79,104,32,15,17
China,21339,10850,10489,2576,1248,1328
Chipre,12,4,8,3,1,2
Colômbia,907,337,570,94,37,57
Comores,1,1,0,0,0,0
Congo,64,20,44,2,0,2
Congo (República Democrática),235,128,107,9,3,6
Cook (Ilhas),1,1,0,0,0,0
Coreia do Sul,182,70,112,22,8,14
Costa do Marfim,121,88,33,12,8,4
Costa Rica,53,22,31,9,5,4
Croácia,174,74,100,49,26,23
Cuba,901,402,499,63,26,37
Desconhecido,14,9,5,0,0,0
Dinamarca,575,322,253,83,42,41
Dominica,7,3,4,0,0,0
Egipto,298,213,85,21,16,5
El Salvador,36,18,18,4,2,2
Emiratos Árabes Unidos,5,4,1,0,0,0
Equador,292,121,171,35,19,16
Eritreia,40,24,16,8,4,4
Eslováquia,164,43,121,34,13,21
Eslovénia,96,43,53,32,18,14
Espanha,10019,5031,4988,1662,842,820
Estados Unidos da América,2619,1340,1279,329,174,155
Estónia,121,31,90,29,11,18
Etiópia,51,23,28,8,6,2
Fidji (Ilhas),7,2,5,1,0,1
Filipinas,756,229,527,132,63,69
Finlândia,834,452,382,326,192,134
França,8440,4490,3950,2495,1434,1061
Gabão,17,14,3,1,0,1
Gâmbia,152,116,36,9,6,3
Gana,137,79,58,21,15,6
Geórgia,727,410,317,45,18,27
Granada,4,2,2,0,0,0
Grécia,248,119,129,71,30,41
Guatemala,51,25,26,7,3,4
Guiana,4,3,1,0,0,0
Guiné,1526,1078,448,128,66,62
Guiné Bissau,17091,9245,7846,1129,553,576
Guiné Equatorial,51,27,24,6,1,5
Haiti,5,3,2,1,1,0
Holanda,5857,3113,2744,834,441,393
Honduras,30,12,18,7,3,4
Hungria,480,152,328,77,25,52
Iémen,18,13,5,2,1,1
Índia,6935,4822,2113,1121,775,346
Indonésia,140,76,64,17,8,9
Irão,545,305,240,65,33,32
Iraque,126,65,61,14,6,8
Irlanda,892,480,412,190,114,76
Islândia,62,26,36,6,2,4
Israel,108,58,50,18,10,8
Itália,6130,3508,2622,1577,872,705
Jamaica,12,5,7,1,0,1
Japão,397,173,224,40,16,24
Jordânia,138,80,58,59,31,28
Kosovo,27,15,12,6,3,3
Kuwait,1,1,0,1,1,0
Laos,9,4,5,1,1,0
Lesoto,3,0,3,2,0,2
Letónia,333,94,239,52,19,33
Líbano,162,100,62,36,18,18
Libéria,16,14,2,1,0,1
Líbia,196,155,41,15,5,10
Liechtenstein,3,1,2,1,0,1
Lituânia,535,171,364,69,21,48
