Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Afeganistão,62,41,21,6,3,3
África do Sul,1605,779,826,311,155,156
Albânia,84,44,40,13,6,7
Alemanha,14669,7707,6962,2825,1568,1257
Andorra,13,7,6,1,0,1
Angola,22691,10088,12603,4478,1972,2506
Antígua e Barbuda,1,1,0,1,1,0
Apátrida,33,19,14,2,1,1
Arábia Saudita,182,95,87,15,10,5
Argélia,517,292,225,185,109,76
Argentina,560,258,302,124,56,68
Arménia,81,34,47,12,5,7
Austrália,459,243,216,99,58,41
Áustria,1317,690,627,289,158,131
Azerbaijão,67,29,38,13,6,7
Bahamas,1,0,1,0,0,0
Bahrein,12,7,5,1,1,0
Bangladesh,7964,6293,1671,2396,1812,584
Barbados,4,1,3,0,0,0
Bélgica,4781,2643,2138,914,529,385
Belize,8,3,5,0,0,0
Benin,11,10,1,0,0,0
Bermudas,1,0,1,1,0,1
Bielorrússia,564,191,373,48,15,33
Bolívia,120,34,86,10,3,7
Bósnia e Herzegovina,59,18,41,9,6,3
Botswana,4,2,2,1,0,1
Brasil,151304,65146,86158,48796,23575,25221
Brunei,2,0,2,1,0,1
Bulgária,6839,3344,3495,301,139,162
Burkina Faso,30,23,7,9,7,2
Burundi,6,3,3,2,1,1
Butão,5,3,2,2,2,0
Cabo Verde,37436,17452,19984,4380,1996,2384
Camarões,183,106,77,45,27,18
Cambodja,29,8,21,15,5,10
Canadá,1012,541,471,168,97,71
Cazaquistão,581,259,322,101,58,43
Chade,2,2,0,1,1,0
Chile,306,143,163,89,39,50
China,27839,13922,13917,2164,1038,1126
Chipre,84,47,37,29,20,9
Colômbia,1264,486,778,342,139,203
Comores,1,0,1,1,0,1
Congo,79,32,47,12,3,9
Congo (República Democrática),243,121,122,33,12,21
Coreia do Sul,200,83,117,61,33,28
Costa do Marfim,169,106,63,30,17,13
Costa Rica,81,33,48,9,5,4
Croácia,375,192,183,79,36,43
Cuba,1116,494,622,151,72,79
Desconhecido,11,7,4,1,1,0
Dinamarca,1165,694,471,234,141,93
Djibuti,6,4,2,0,0,0
Dominica,13,9,4,4,3,1
Egipto,475,293,182,128,73,55
El Salvador,54,28,26,13,7,6
Emiratos Árabes Unidos,31,19,12,2,1,1
Equador,495,252,243,189,106,83
Eritreia,209,160,49,17,10,7
Eslováquia,322,98,224,75,22,53
Eslovénia,173,71,102,57,25,32
Espanha,15848,8102,7746,3246,1703,1543
Estados Unidos da América,4134,2034,2100,1115,536,579
Estónia,259,79,180,53,24,29
Etiópia,57,26,31,12,7,5
Fidji (Ilhas),4,2,2,0,0,0
Filipinas,997,264,733,159,45,114
Finlândia,1271,625,646,165,66,99
França,23125,12315,10810,4930,2569,2361
Gabão,28,13,15,6,4,2
Gâmbia,186,144,42,35,29,6
Gana,173,125,48,35,23,12
Geórgia,450,230,220,60,37,23
Granada,4,2,2,1,1,0
Grécia,633,319,314,171,88,83
Guatemala,59,25,34,15,9,6
Guiana,9,5,4,1,1,0
Guiné,1415,963,452,202,120,82
Guiné Bissau,18886,10067,8819,3457,1932,1525
Guiné Equatorial,69,32,37,5,2,3
Haiti,9,7,2,5,5,0
Holanda,10038,5389,4649,1519,822,697
Honduras,48,18,30,11,7,4
Hong Kong,29,15,14,11,7,4
Hungria,881,316,565,205,89,116
Iémen,29,22,7,15,11,4
Índia,17619,13235,4384,6267,4996,1271
Indonésia,425,321,104,203,184,19
Irão,1099,605,494,309,174,135
Iraque,404,220,184,106,45,61
Irlanda,2249,1307,942,580,350,230
Islândia,108,58,50,35,20,15
Israel,268,143,125,71,37,34
Itália,25408,14878,10530,7865,4505,3360
Jamaica,14,8,6,0,0,0
Japão,455,186,269,64,32,32
Jordânia,456,260,196,89,57,32
Kosovo,36,17,19,1,0,1
Kuwait,57,34,23,17,9,8
Laos,1,0,1,0,0,0
Lesoto,2,0,2,1,0,1
Letónia,493,142,351,68,21,47
Líbano,565,311,254,131,69,62
Libéria,14,11,3,2,1,1
Líbia,168,90,78,44,22,22
Liechtenstein,8,4,4,0,0,0
Lituânia,833,251,582,126,31,95
Luxemburgo,295,160,135,91,52,39
Macau,1,0,1,0,0,0
Macedónia,66,28,38,19,11,8
Madagáscar,11,1,10,2,0,2
Malásia,90,34,56,27,10,17
Malawi,18,5,13,0,0,0
Maldivas,8,2,6,1,0,1
Mali,52,45,7,7,7,0
Malta,61,35,26,20,14,6
Marrocos,1684,864,820,292,163,129
Marshall (Ilhas),1,1,0,0,0,0
Maurícias (Ilhas),34,17,17,7,2,5
Mauritânia,23,20,3,1,1,0
México,595,238,357,125,60,65
Moçambique,3501,1465,2036,633,297,336
Moldávia,5098,2346,2752,661,346,315
Mongólia,20,4,16,4,1,3
Montenegro,16,9,7,7,6,1
Myanmar (Birmânia),3,3,0,0,0,0
Namíbia,28,9,19,5,2,3
Nauru,1,1,0,1,1,0
Nepal,16849,10761,6088,5010,3171,1839
Nicarágua,35,12,23,8,3,5
Níger,1,1,0,0,0,0
Nigéria,668,433,235,169,118,51
Noruega,874,499,375,165,111,54
Nova Zelândia,84,39,45,13,5,8
Oman,9,7,2,3,3,0
Palestina,79,43,36,21,11,10
